,Country,Region,Population (millions),HDI,GDP per Capita,Cropland Footprint,Grazing Footprint,Forest Footprint,Carbon Footprint,Fish Footprint,Total Ecological Footprint,Cropland,Grazing Land,Forest Land,Fishing Water,Urban Land,Total Biocapacity,Biocapacity Deficit or Reserve,Earths Required,Countries Required,Data Quality
175,Uganda,Africa,36.35,0.48,601.35,0.34,0.15,0.54,0.08,0.11,1.24,0.35,0.15,0.01,0.04,0.04,0.59,-0.66,0.72,2.12,6
176,Ukraine,Northern/Eastern Europe,45.53,0.74,3589.63,0.62,0.01,0.16,1.92,0.06,2.84,1.5,0.12,0.43,0.15,0.07,2.27,-0.58,1.64,1.25,5
177,United Kingdom,European Union,63.03,0.9,40980.5,0.82,0.28,0.45,3.14,0.08,4.94,0.6,0.12,0.12,0.3,0.18,1.32,-3.62,2.85,3.76,6
178,United Arab Emirates,Middle East/Central Asia,9.206,0.83,40817.4,0.8,0.19,0.38,6.37,0.19,7.93,0.02,0.0,0.07,0.47,0.0,0.56,-7.37,4.58,14.160714285714299,6
179,United States of America,North America,317.5,0.91,49725.0,1.13,0.3,0.67,5.9,0.12,8.22,1.49,0.28,1.57,0.33,0.09,3.76,-4.46,4.75,2.19,6
180,Uruguay,Latin America,3.4,0.79,14238.1,0.19,0.98,0.55,0.98,0.05,2.91,1.89,4.86,1.22,2.18,0.17,10.32,7.41,1.68,0.28,3B
181,Uzbekistan,Middle East/Central Asia,28.54,0.67,1560.85,0.62,0.13,0.08,1.41,0.0,2.32,0.56,0.2,0.06,0.03,0.08,0.92,-1.4,1.34,2.52,6
182,"Venezuela, Bolivarian Republic of",Latin America,29.96,0.763846,10237.8,0.45,0.74,0.12,2.13,0.09,3.57,0.14,0.57,1.79,0.24,0.04,2.78,-0.79,2.06,1.28,5
183,Viet Nam,Asia-Pacific,90.8,0.66,1532.31,0.5,0.01,0.19,0.79,0.05,1.65,0.55,0.01,0.17,0.16,0.1,1.0,-0.65,0.95,1.66,6
185,Yemen,Middle East/Central Asia,23.85,0.5,1302.3,0.34,0.14,0.04,0.42,0.04,1.03,0.09,0.12,0.04,0.2,0.04,0.5,-0.53,0.59,2.06,5
186,Zambia,Africa,14.08,0.58,1740.64,0.19,0.18,0.33,0.24,0.01,0.99,0.24,0.94,0.99,0.02,0.04,2.23,1.24,0.57,0.44,6
187,Zimbabwe,Africa,13.72,0.49,865.91,0.2,0.32,0.29,0.53,0.01,1.37,0.15,0.32,0.12,0.01,0.02,0.62,-0.75,0.79,2.2,6
